"","PlanName","PlanFullName","fy","fye","ActLiabilities_GASB","InvestmentReturn_1yr","month","SWTSX","VBMFX"
"99","California PERF","California Public Employees Retirement Fund",2019,2019-06-30,531166016,0.067,6,0.0880615826296487,0.0775737145313218
"100","California PERF","California Public Employees Retirement Fund",2020,2020-06-30,531166016,0.047,6,0.0637169903048058,0.0887383690228434
"101","Colorado State","Colorado Public Employee Retirement Association-State Division",2001,NA,NA,-0.077,NA,NA,NA
"102","Colorado State","Colorado Public Employee Retirement Association-State Division",2002,NA,NA,-0.1179,NA,NA,NA
"103","Colorado State","Colorado Public Employee Retirement Association-State Division",2003,NA,NA,0.2406,NA,NA,NA
"104","Colorado State","Colorado Public Employee Retirement Association-State Division",2004,NA,NA,0.141,NA,NA,NA
"105","Colorado State","Colorado Public Employee Retirement Association-State Division",2005,2005-12-31,17541744,0.098,12,0.0621621498329641,0.0242860091491208
"106","Colorado State","Colorado Public Employee Retirement Association-State Division",2006,2006-12-31,18246010,0.157,12,0.155300142443008,0.0430787617229647
"107","Colorado State","Colorado Public Employee Retirement Association-State Division",2007,2007-12-31,19390296,0.1,12,0.0536625951666168,0.069561593296529
"108","Colorado State","Colorado Public Employee Retirement Association-State Division",2008,2008-12-31,20498668,-0.26,12,-0.365611147560206,0.0508983946955546
"109","Colorado State","Colorado Public Employee Retirement Association-State Division",2009,2009-12-31,19977216,0.174,12,0.283026679365479,0.059505035287575
"110","Colorado State","Colorado Public Employee Retirement Association-State Division",2010,2010-12-31,20356176,0.14,12,0.172355650658102,0.063136479344696
"111","Colorado State","Colorado Public Employee Retirement Association-State Division",2011,2011-12-31,20826544,0.019,12,0.0127794236429859,0.0759157042421255
"112","Colorado State","Colorado Public Employee Retirement Association-State Division",2012,2012-12-31,21191496,0.129,12,0.16287946344924,0.0406831850802272
"113","Colorado State","Colorado Public Employee Retirement Association-State Division",2013,2013-12-31,22843724,0.156,12,0.333574806908474,-0.0224706879179262
"114","Colorado State","Colorado Public Employee Retirement Association-State Division",2014,2014-12-31,23408320,0.057,12,0.12374148429806,0.0576772399296885
